Wall time,Step,Value
1521751838.1784534,17700,0.3858245611190796
1521751857.6880624,17760,0.3494095504283905
1521751870.6683946,17800,0.3393375873565674
1521751877.170613,17820,0.3999760150909424
1521751890.159982,17860,0.36120468378067017
1521751896.6421392,17880,0.3480008840560913
1521751903.1954584,17900,0.3816470801830292
1521751916.1798098,17940,0.45954787731170654
1521751922.6900284,17960,0.3834763467311859
1521751935.713472,18000,0.3739774525165558
1521751947.0983367,18020,0.3474860191345215
1521751979.4811356,18120,0.35090863704681396
1521751992.4253385,18160,0.39200618863105774
1521751998.9004736,18180,0.3680405914783478
1521752005.3745966,18200,0.4252265989780426
1521752011.8517597,18220,0.37085914611816406
1521752018.355965,18240,0.3653322756290436
1521752024.8471248,18260,0.3870672583580017
1521752031.3222666,18280,0.44504109025001526
1521752044.3097262,18320,0.36482706665992737
1521752050.820876,18340,0.3898860216140747
1521752057.3110437,18360,0.333204984664917
1521752076.8086267,18420,0.3837197422981262
1521752083.3059654,18440,0.38177579641342163
1521752089.7920847,18460,0.3774503469467163
1521752096.2771466,18480,0.35846850275993347
1521752109.2484763,18520,0.3423803150653839
1521752148.1604607,18640,0.3761247992515564
1521752154.638616,18660,0.3743221163749695
1521752161.1427977,18680,0.3531700074672699
1521752174.1522276,18720,0.3366030752658844
1521752200.1209435,18800,0.38336190581321716
1521752219.5643902,18860,0.36225730180740356
1521752239.0439527,18920,0.3298197388648987
1521752264.9576309,19000,0.36196470260620117
1521752284.4280856,19060,0.3222869634628296
1521752290.9042163,19080,0.35693657398223877
1521752297.4044132,19100,0.33475303649902344
1521752310.3667057,19140,0.35779380798339844
1521752316.8548768,19160,0.3481488525867462
1521752323.3400402,19180,0.33780625462532043
1521752336.3003626,19220,0.38665255904197693
1521752342.7825024,19240,0.3539389371871948
1521752349.2556572,19260,0.3301492929458618
1521752355.7678802,19280,0.40473368763923645
1521752362.26507,19300,0.39030611515045166
1521752375.2664719,19340,0.40721267461776733
1521752381.7616582,19360,0.33108824491500854
1521752394.7590377,19400,0.36671239137649536
1521752407.759431,19440,0.38795074820518494
1521752414.2586253,19460,0.3096165060997009
1521752427.2890904,19500,0.43976891040802
1521752440.2944875,19540,0.3912380337715149
1521752446.793682,19560,0.3152918815612793
1521752453.2928762,19580,0.32647061347961426
1521752459.7900665,19600,0.3470120131969452
1521752479.2956672,19660,0.35448676347732544
1521752485.7978683,19680,0.3599216043949127
1521752492.29606,19700,0.40775230526924133
1521752511.7867382,19760,0.31962794065475464
1521752518.290911,19780,0.4082780182361603
1521752570.3525367,19940,0.37496712803840637
1521752589.8601418,20000,0.32925906777381897
1521752601.5906036,20020,0.3785960078239441
1521752618.3726344,20060,0.3906922936439514
1521752631.372025,20100,0.33838948607444763
1521752637.8692162,20120,0.3403142988681793
1521752657.36381,20180,0.31269657611846924
1521752663.8740103,20200,0.38001343607902527
1521752676.8934445,20240,0.3938155472278595
1521752683.3996542,20260,0.3972856104373932
1521752689.9018552,20280,0.37532714009284973
1521752696.4020522,20300,0.37374141812324524
1521752715.9026413,20360,0.3350888192653656
1521752767.930271,20520,0.37079083919525146
1521752774.4334745,20540,0.3235311508178711
1521752780.9376795,20560,0.362680047750473
1521752793.9661336,20600,0.3658750653266907
1521752806.9705355,20640,0.38874801993370056
1521752813.465721,20660,0.4238911271095276
1521752819.975939,20680,0.4148421883583069
1521752832.9813435,20720,0.3657432198524475
1521752845.9887705,20760,0.39201486110687256
1521752852.4919555,20780,0.38462507724761963
1521752858.9951582,20800,0.3147076964378357
1521752878.4947708,20860,0.31104663014411926
1521752884.98995,20880,0.3552299439907074
1521752891.49113,20900,0.4338063895702362
1521752924.0141792,21000,0.3404170572757721
1521752937.0095615,21040,0.36411309242248535
1521752943.5127468,21060,0.35756683349609375
1521752956.5151436,21100,0.38372543454170227
1521752963.0163429,21120,0.41957858204841614
1521752976.0277784,21160,0.38282668590545654
1521753015.0399637,21280,0.4096713662147522
1521753021.5441692,21300,0.3604748249053955
1521753034.5465665,21340,0.35830217599868774
1521753047.5771773,21380,0.38757845759391785
1521753073.5888534,21460,0.35736367106437683
